SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
472211,Sheet Metal Workers,-0.3%,350,$33 per hour,"$73,300 per year",These occupations usually require a high school diploma.
516041,Shoe and Leather Workers and Repairers,-3.3%,2,$14 per hour,"$31,000 per year",These occupations usually require a high school diploma.
516042,Shoe Machine Operators and Tenders,-3.5%,5,$15 per hour,"$31,400 per year",These occupations usually require a high school diploma.
513023,Slaughterers and Meat Packers,0.5%,112,$17 per hour,"$36,800 per year",Some of these occupations may require a high school diploma or GED certificate.
512092,Team Assemblers,-1.9%,"1,015",$18 per hour,"$40,400 per year",These occupations usually require a high school diploma.
516061,Textile Bleaching and Dyeing Machine Operators and Tenders,-3.6%,0,$15 per hour,"$31,600 per year",These occupations usually require a high school diploma.
516062,"Textile Cutting Machine Setters, Operators, and Tenders",-4.0%,0,$17 per hour,"$40,100 per year",These occupations usually require a high school diploma.
516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-3.6%,9,$17 per hour,"$36,600 per year",These occupations usually require a high school diploma.
516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.2%,6,$14 per hour,"$31,800 per year",These occupations usually require a high school diploma.
516099,"Textile, Apparel, and Furnishings Workers, All Other",-2.4%,17,$20 per hour,"$44,800 per year",None
512061,Timing Device Assemblers and Adjusters,N/A,N/A,$17 per hour,"$39,400 per year",These occupations usually require a high school diploma.
519197,Tire Builders,N/A,N/A,$22 per hour,"$46,000 per year",These occupations usually require a high school diploma.
514111,Tool and Die Makers,-1.4%,111,$31 per hour,"$67,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
514194,"Tool Grinders, Filers, and Sharpeners",-1.2%,37,$27 per hour,"$64,900 per year",These occupations usually require a high school diploma.
516093,Upholsterers,-2.6%,14,$24 per hour,"$52,500 per year",These occupations usually require a high school diploma.
499064,Watch and Clock Repairers,N/A,N/A,$22 per hour,"$48,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.7%,84,$22 per hour,"$45,100 per year",These occupations usually require a high school diploma.
514121,"Welders, Cutters, Solderers, and Brazers",-0.8%,715,$27 per hour,"$57,700 per year",These occupations usually require a high school diploma.
514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.5%,11,$20 per hour,"$43,400 per year",These occupations usually require a high school diploma.
517099,"Woodworkers, All Other",-1.2%,14,$27 per hour,"$52,600 per year",None
517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-2.0%,180,$18 per hour,"$39,800 per year",These occupations usually require a high school diploma.
112011,Advertising and Promotions Managers,0.1%,34,$63 per hour,"$138,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
413011,Advertising Sales Agents,2.5%,641,$29 per hour,"$72,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
412011,Cashiers,-1.7%,"8,198",$16 per hour,"$35,000 per year",Some of these occupations may require a high school diploma or GED certificate.
412021,Counter and Rental Clerks,-1.8%,979,$19 per hour,"$42,600 per year",These occupations usually require a high school diploma.
434051,Customer Service Representatives,0.0%,"6,547",$20 per hour,"$45,700 per year",These occupations usually require a high school diploma.
419011,Demonstrators and Product Promoters,-2.1%,471,$17 per hour,"$37,700 per year",These occupations usually require a high school diploma.
419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",-3.5%,177,$17 per hour,"$36,500 per year",These occupations usually require a high school diploma.
533031,Driver/Sales Workers,-4.2%,137,$17 per hour,"$39,400 per year",Some of these occupations may require a high school diploma or GED certificate.
411012,First-Line Supervisors of Non-Retail Sales Workers,0.0%,865,$43 per hour,"$101,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
411011,First-Line Supervisors of Retail Sales Workers,-2.6%,"1,547",$24 per hour,"$54,600 per year",These occupations usually require a high school diploma.
131131,Fundraisers,1.5%,391,$29 per hour,"$64,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
112033,Fundraising Managers,0.9%,231,$63 per hour,"$139,800 per year",None
112021,Marketing Managers,4.7%,"1,998",$76 per hour,"$168,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
271026,Merchandise Displayers and Window Trimmers,-0.4%,226,$18 per hour,"$40,800 per year",These occupations usually require a high school diploma.
419012,Models,-12.6%,0,$15 per hour,"$54,100 per year",Some of these occupations may require a high school diploma or GED certificate.
412022,Parts Salespersons,-2.1%,354,$19 per hour,"$43,100 per year",These occupations usually require a high school diploma.
119141,"Property, Real Estate, and Community Association Managers",1.0%,465,$40 per hour,"$94,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
112032,Public Relations Managers,0.9%,231,$63 per hour,"$139,800 per year",None
273031,Public Relations Specialists,0.4%,666,$36 per hour,"$83,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
113061,Purchasing Managers,-0.1%,133,$67 per hour,"$146,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
419021,Real Estate Brokers,0.3%,273,$36 per hour,"$82,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
419022,Real Estate Sales Agents,1.7%,"2,692",$31 per hour,"$73,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
