SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
452091,Agricultural Equipment Operators,-0.1%,764,$16 per hour,"$36,200 per year",These occupations usually require a high school diploma.
452011,Agricultural Inspectors,0.0%,97,$21 per hour,"$46,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
194012,Agricultural Technicians,-0.1%,51,$20 per hour,"$43,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
452099,"Agricultural Workers, All Other",-2.7%,66,$15 per hour,"$36,400 per year",None
452021,Animal Breeders,0.0%,21,$20 per hour,"$43,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
392021,Animal Caretakers,-3.3%,613,$16 per hour,"$35,300 per year",Some of these occupations may require a high school diploma or GED certificate.
191011,Animal Scientists,-0.3%,7,$29 per hour,"$62,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
392011,Animal Trainers,-3.9%,21,$17 per hour,"$45,400 per year",These occupations usually require a high school diploma.
131021,"Buyers and Purchasing Agents, Farm Products",0.6%,"1,815",$36 per hour,"$79,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
475041,Continuous Mining Machine Operators,-1.4%,3,$23 per hour,"$47,300 per year",Some of these occupations may require a high school diploma or GED certificate.
475011,"Derrick Operators, Oil and Gas",N/A,N/A,$23 per hour,"$50,300 per year",Some of these occupations may require a high school diploma or GED certificate.
173025,Environmental Engineering Technologists and Technicians,0.2%,40,$37 per hour,"$78,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
172081,Environmental Engineers,0.9%,163,$52 per hour,"$110,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194042,"Environmental Science and Protection Technicians, Including Health",1.3%,190,$26 per hour,"$64,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
475099,"Extraction Workers, All Other",-1.8%,37,$35 per hour,"$71,300 per year",None
454021,Fallers,-2.0%,46,$35 per hour,"$71,800 per year",Some of these occupations may require a high school diploma or GED certificate.
131074,Farm Labor Contractors,-0.1%,19,$23 per hour,"$50,300 per year",These occupations usually require a high school diploma.
119013,"Farmers, Ranchers, and Other Agricultural Managers",0.0%,358,$41 per hour,"$91,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0%,"9,935",$15 per hour,"$33,400 per year",Some of these occupations may require a high school diploma or GED certificate.
452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0%,876,$16 per hour,"$37,700 per year",Some of these occupations may require a high school diploma or GED certificate.
451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0%,757,$27 per hour,"$58,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.8%,297,$29 per hour,"$60,700 per year",These occupations usually require a high school diploma.
333031,Fish and Game Wardens,0.7%,10,$43 per hour,"$80,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
453031,Fishing and Hunting Workers,-2.7%,231,N/A,N/A,Some of these occupations may require a high school diploma or GED certificate.
513099,"Food Processing Workers, All Other",-0.5%,24,$15 per hour,"$35,000 per year",None
194013,Food Science Technicians,-0.1%,51,$20 per hour,"$43,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
191012,Food Scientists and Technologists,-0.7%,14,$32 per hour,"$69,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194071,Forest and Conservation Technicians,0.6%,157,$19 per hour,"$42,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
454011,Forest and Conservation Workers,0.3%,167,$18 per hour,"$39,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
191032,Foresters,-0.1%,72,$33 per hour,"$71,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194043,"Geological Technicians, Except Hydrologic Technicians",0.2%,11,$29 per hour,"$61,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
452041,"Graders and Sorters, Agricultural Products",0.0%,430,$15 per hour,"$31,300 per year",Some of these occupations may require a high school diploma or GED certificate.
475081,Helpers--Extraction Workers,0.6%,14,$21 per hour,"$44,500 per year",These occupations usually require a high school diploma.
194044,Hydrologic Technicians,0.2%,11,$29 per hour,"$61,300 per year",None
373011,Landscaping and Groundskeeping Workers,-0.7%,"3,250",$19 per hour,"$41,300 per year",Some of these occupations may require a high school diploma or GED certificate.
454023,Log Graders and Scalers,-1.0%,50,$25 per hour,"$49,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
454022,Logging Equipment Operators,-1.1%,353,$28 per hour,"$58,100 per year",Some of these occupations may require a high school diploma or GED certificate.
454029,"Logging Workers, All Other",-1.6%,117,$26 per hour,"$51,700 per year",None
372021,Pest Control Workers,0.4%,190,$25 per hour,"$56,000 per year",These occupations usually require a high school diploma.
373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.0%,158,$20 per hour,"$44,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
537081,Refuse and Recyclable Material Collectors,1.0%,506,$29 per hour,"$58,300 per year",These occupations usually require a high school diploma.
475051,"Rock Splitters, Quarry",N/A,N/A,$18 per hour,"$38,400 per year",Some of these occupations may require a high school diploma or GED certificate.
475012,"Rotary Drill Operators, Oil and Gas",N/A,N/A,$26 per hour,"$58,900 per year",These occupations usually require a high school diploma.
475071,"Roustabouts, Oil and Gas",N/A,N/A,$19 per hour,"$42,200 per year",Some of these occupations may require a high school diploma or GED certificate.
475013,"Service Unit Operators, Oil and Gas",N/A,N/A,$23 per hour,"$52,500 per year",These occupations usually require a high school diploma.
191013,Soil and Plant Scientists,0.6%,57,$39 per hour,"$80,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
373013,Tree Trimmers and Pruners,0.0%,187,$20 per hour,"$44,000 per year",These occupations usually require a high school diploma.
475049,"Underground Mining Machine Operators, All Other",N/A,N/A,$35 per hour,"$71,300 per year",None
518031,Water and Wastewater Treatment Plant and System Operators,-0.4%,174,$32 per hour,"$69,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
537073,Wellhead Pumpers,N/A,N/A,$29 per hour,"$60,500 per year",These occupations usually require a high school diploma.
191023,Zoologists and Wildlife Biologists,1.1%,194,$37 per hour,"$83,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
171011,"Architects, Except Landscape and Naval",0.6%,518,$41 per hour,"$88,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
173011,Architectural and Civil Drafters,0.1%,209,$29 per hour,"$62,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472021,Brickmasons and Blockmasons,-0.2%,172,$40 per hour,"$78,600 per year",These occupations usually require a high school diploma.
372019,"Building Cleaning Workers, All Other",N/A,N/A,$17 per hour,"$38,900 per year",None
517011,Cabinetmakers and Bench Carpenters,-2.7%,85,$20 per hour,"$44,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472031,Carpenters,-1.3%,"2,757",$30 per hour,"$66,100 per year",These occupations usually require a high school diploma.
472041,Carpet Installers,-2.6%,41,$22 per hour,"$47,700 per year",These occupations usually require a high school diploma.
472051,Cement Masons and Concrete Finishers,-0.4%,375,$29 per hour,"$66,700 per year",These occupations usually require a high school diploma.
173022,Civil Engineering Technologists and Technicians,-0.1%,135,$33 per hour,"$68,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499092,Commercial Divers,-0.7%,9,$67 per hour,"$135,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
474011,Construction and Building Inspectors,0.1%,381,$40 per hour,"$81,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
474099,"Construction and Related Workers, All Other",N/A,N/A,N/A,N/A,None
472061,Construction Laborers,-0.2%,"4,459",$24 per hour,"$53,600 per year",Some of these occupations may require a high school diploma or GED certificate.
119021,Construction Managers,0.4%,"1,207",$50 per hour,"$108,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
499012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.8%,22,$40 per hour,"$83,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
131051,Cost Estimators,-1.0%,414,$36 per hour,"$79,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
537021,Crane and Tower Operators,-1.2%,68,$38 per hour,"$78,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
537031,Dredge Operators,N/A,N/A,$24 per hour,"$53,800 per year",These occupations usually require a high school diploma.
472081,Drywall and Ceiling Tile Installers,-1.9%,256,$34 per hour,"$73,800 per year",These occupations usually require a high school diploma.
475023,"Earth Drillers, Except Oil and Gas",N/A,N/A,$27 per hour,"$60,700 per year",These occupations usually require a high school diploma.
173012,Electrical and Electronics Drafters,0.1%,37,$31 per hour,"$67,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.4%,16,$48 per hour,"$98,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499051,Electrical Power-Line Installers and Repairers,-0.6%,147,$49 per hour,"$95,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472111,Electricians,-0.7%,"1,939",$36 per hour,"$77,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
474021,Elevator and Escalator Installers and Repairers,-0.4%,31,$55 per hour,"$103,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
475022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",N/A,N/A,$25 per hour,"$53,900 per year",These occupations usually require a high school diploma.
475032,"Explosives Workers, Ordnance Handling Experts, and Blasters",N/A,N/A,$27 per hour,"$60,700 per year",These occupations usually require a high school diploma.
474031,Fence Erectors,-0.6%,187,$20 per hour,"$45,400 per year",These occupations usually require a high school diploma.
471011,First-Line Supervisors of Construction Trades and Extraction Workers,-0.5%,"1,537",$45 per hour,"$94,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.9%,20,$22 per hour,"$47,500 per year",These occupations usually require a high school diploma.
472043,Floor Sanders and Finishers,-2.1%,21,$22 per hour,"$44,700 per year",These occupations usually require a high school diploma.
472121,Glaziers,0.0%,247,$28 per hour,"$66,000 per year",These occupations usually require a high school diploma.
373019,"Grounds Maintenance Workers, All Other",-2.8%,16,$17 per hour,"$40,300 per year",None
474041,Hazardous Materials Removal Workers,0.8%,195,$30 per hour,"$64,400 per year",These occupations usually require a high school diploma.
499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.7%,577,$30 per hour,"$66,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
473019,"Helpers, Construction Trades, All Other",-0.3%,7,$23 per hour,"$47,800 per year",None
473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.6%,35,$23 per hour,"$57,200 per year",Some of these occupations may require a high school diploma or GED certificate.
473012,Helpers--Carpenters,-3.1%,87,$16 per hour,"$38,900 per year",These occupations usually require a high school diploma.
473013,Helpers--Electricians,-1.1%,25,$20 per hour,"$48,400 per year",These occupations usually require a high school diploma.
499098,"Helpers--Installation, Maintenance, and Repair Workers",-1.2%,144,$19 per hour,"$42,900 per year",These occupations usually require a high school diploma.
473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.2%,15,$16 per hour,"$35,900 per year",Some of these occupations may require a high school diploma or GED certificate.
473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-0.7%,52,$18 per hour,"$39,600 per year",These occupations usually require a high school diploma.
473016,Helpers--Roofers,-0.3%,14,$18 per hour,"$37,200 per year",These occupations usually require a high school diploma.
474051,Highway Maintenance Workers,0.1%,264,$28 per hour,"$59,000 per year",These occupations usually require a high school diploma.
537041,Hoist and Winch Operators,-1.7%,25,$29 per hour,"$60,700 per year",These occupations usually require a high school diploma.
472131,"Insulation Workers, Floor, Ceiling, and Wall",-1.9%,58,$35 per hour,"$76,800 per year",These occupations usually require a high school diploma.
472132,"Insulation Workers, Mechanical",-0.1%,59,$33 per hour,"$76,700 per year",These occupations usually require a high school diploma.
271025,Interior Designers,1.6%,255,$30 per hour,"$65,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
171012,Landscape Architects,0.7%,87,$38 per hour,"$83,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
475044,"Loading and Moving Machine Operators, Underground Mining",N/A,N/A,$27 per hour,"$56,100 per year",These occupations usually require a high school diploma.
499095,Manufactured Building and Mobile Home Installers,-2.3%,2,$20 per hour,"$44,600 per year",These occupations usually require a high school diploma.
173013,Mechanical Drafters,-1.1%,111,$31 per hour,"$68,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
435041,"Meter Readers, Utilities",-0.8%,59,$24 per hour,"$52,100 per year",These occupations usually require a high school diploma.
499044,Millwrights,-1.0%,97,$31 per hour,"$69,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472073,Operating Engineers and Other Construction Equipment Operators,-0.6%,821,$38 per hour,"$77,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472141,"Painters, Construction and Maintenance",-1.6%,"1,109",$24 per hour,"$51,400 per year",These occupations usually require a high school diploma.
472142,Paperhangers,-5.5%,0,$24 per hour,"$50,400 per year",These occupations usually require a high school diploma.
472071,"Paving, Surfacing, and Tamping Equipment Operators",-0.5%,86,$20 per hour,"$46,400 per year",These occupations usually require a high school diploma.
472072,Pile Driver Operators,-0.3%,15,$34 per hour,"$73,900 per year",These occupations usually require a high school diploma.
472151,Pipelayers,-0.7%,83,$34 per hour,"$67,700 per year",These occupations usually require a high school diploma.
472161,Plasterers and Stucco Masons,-1.0%,20,$25 per hour,"$61,400 per year",These occupations usually require a high school diploma.
472152,"Plumbers, Pipefitters, and Steamfitters",-0.5%,"1,003",$35 per hour,"$76,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499045,"Refractory Materials Repairers, Except Brickmasons",N/A,N/A,$26 per hour,"$55,100 per year",These occupations usually require a high school diploma.
472171,Reinforcing Iron and Rebar Workers,-0.2%,39,$43 per hour,"$85,100 per year",These occupations usually require a high school diploma.
499096,Riggers,-0.2%,80,$30 per hour,"$63,400 per year",These occupations usually require a high school diploma.
475043,"Roof Bolters, Mining",N/A,N/A,$29 per hour,"$61,900 per year",These occupations usually require a high school diploma.
472181,Roofers,-0.2%,598,$30 per hour,"$63,600 per year",These occupations usually require a high school diploma.
492098,Security and Fire Alarm Systems Installers,0.9%,214,$28 per hour,"$59,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
474091,Segmental Pavers,-0.3%,57,$20 per hour,"$49,200 per year",These occupations usually require a high school diploma.
474071,Septic Tank Servicers and Sewer Pipe Cleaners,0.7%,93,$23 per hour,"$49,400 per year",Some of these occupations may require a high school diploma or GED certificate.
472231,Solar Photovoltaic Installers,4.0%,35,$23 per hour,"$46,900 per year",These occupations usually require a high school diploma.
518021,Stationary Engineers and Boiler Operators,0.0%,53,$34 per hour,"$73,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472022,Stonemasons,-2.2%,13,$27 per hour,"$56,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472221,Structural Iron and Steel Workers,-0.2%,158,$44 per hour,"$85,700 per year",These occupations usually require a high school diploma.
512041,Structural Metal Fabricators and Fitters,0.0%,193,$23 per hour,"$50,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
173031,Surveying and Mapping Technicians,0.2%,185,$25 per hour,"$53,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
171022,Surveyors,0.3%,77,$43 per hour,"$89,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
472082,Tapers,-2.4%,87,$31 per hour,"$69,000 per year",These occupations usually require a high school diploma.
492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.2%,491,$34 per hour,"$66,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
472053,Terrazzo Workers and Finishers,-2.1%,1,$25 per hour,"$56,400 per year",These occupations usually require a high school diploma.
472044,Tile and Stone Setters,-1.9%,84,$29 per hour,"$59,800 per year",These occupations usually require a high school diploma.
499081,Wind Turbine Service Technicians,2.2%,46,$27 per hour,"$60,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272011,Actors,-6.8%,0,$25 per hour,N/A,These occupations usually require a high school diploma.
131011,"Agents and Business Managers of Artists, Performers, and Athletes",-3.7%,2,$34 per hour,"$85,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
271011,Art Directors,2.9%,456,$53 per hour,"$115,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
271019,"Artists and Related Workers, All Other",0.6%,15,$23 per hour,"$65,600 per year",None
274011,Audio and Video Technicians,-3.4%,50,$30 per hour,"$74,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
273011,Broadcast Announcers and Radio Disc Jockeys,-2.4%,31,$21 per hour,"$78,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
274012,Broadcast Technicians,-2.2%,21,$26 per hour,"$55,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499061,Camera and Photographic Equipment Repairers,0.0%,4,$20 per hour,"$62,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
274031,"Camera Operators, Television, Video, and Film",-7.0%,0,$29 per hour,"$62,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272032,Choreographers,-5.3%,2,$31 per hour,"$60,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
271021,Commercial and Industrial Designers,2.6%,136,$39 per hour,"$82,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
432099,"Communications Equipment Operators, All Other",N/A,N/A,$22 per hour,"$63,300 per year",None
393092,Costume Attendants,-6.3%,7,$23 per hour,"$48,800 per year",These occupations usually require a high school diploma.
271012,Craft Artists,-1.1%,9,$18 per hour,"$39,000 per year",These occupations usually require a high school diploma.
272031,Dancers,-7.3%,1,$30 per hour,N/A,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
271029,"Designers, All Other",-0.6%,57,$35 per hour,"$71,500 per year",None
439031,Desktop Publishers,-3.0%,5,$22 per hour,"$47,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272091,"Disc Jockeys, Except Radio",-9.0%,0,$21 per hour,N/A,None
273041,Editors,-0.3%,206,$33 per hour,"$77,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
272099,"Entertainers and Performers, Sports and Related Workers, All Other",N/A,N/A,N/A,N/A,None
271022,Fashion Designers,-0.2%,63,$37 per hour,"$80,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
274032,Film and Video Editors,-5.5%,0,$32 per hour,"$79,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-5.2%,0,$23 per hour,"$59,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
271023,Floral Designers,-1.1%,104,$16 per hour,"$35,300 per year",These occupations usually require a high school diploma.
271024,Graphic Designers,1.6%,"1,042",$33 per hour,"$78,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
274015,Lighting Technicians,N/A,N/A,$39 per hour,"$79,200 per year",None
395091,"Makeup Artists, Theatrical and Performance",N/A,N/A,$51 per hour,"$100,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
274099,"Media and Communication Equipment Workers, All Other",-3.7%,40,$39 per hour,"$79,200 per year",None
273099,"Media and Communication Workers, All Other",N/A,N/A,$31 per hour,"$69,600 per year",None
393021,Motion Picture Projectionists,-13.4%,0,$17 per hour,"$36,800 per year",These occupations usually require a high school diploma.
272041,Music Directors and Composers,1.5%,217,$25 per hour,"$59,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
499063,Musical Instrument Repairers and Tuners,-5.9%,0,$23 per hour,"$46,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272042,Musicians and Singers,0.8%,562,$33 per hour,N/A,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
273023,"News Analysts, Reporters, and Journalists",-4.7%,4,$26 per hour,"$67,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
274021,Photographers,-1.7%,179,$22 per hour,"$54,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519151,Photographic Process Workers and Processing Machine Operators,-4.4%,8,$17 per hour,"$41,700 per year",These occupations usually require a high school diploma.
515111,Prepress Technicians and Workers,-3.7%,10,$19 per hour,"$43,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
515113,Print Binding and Finishing Workers,-2.8%,32,$20 per hour,"$45,400 per year",These occupations usually require a high school diploma.
515112,Printing Press Operators,-2.3%,150,$22 per hour,"$47,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
272012,Producers and Directors,-2.5%,94,$33 per hour,"$79,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
439081,Proofreaders and Copy Markers,-3.6%,6,$21 per hour,"$45,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
271027,Set and Exhibit Designers,0.5%,41,$21 per hour,"$53,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
274014,Sound Engineering Technicians,-0.6%,20,$28 per hour,"$64,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
271014,Special Effects Artists and Animators,3.0%,495,$43 per hour,"$92,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
273042,Technical Writers,1.6%,196,$40 per hour,"$84,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
499052,Telecommunications Line Installers and Repairers,-0.9%,119,$36 per hour,"$72,000 per year",These occupations usually require a high school diploma.
432021,Telephone Operators,-0.7%,6,$18 per hour,"$38,100 per year",These occupations usually require a high school diploma.
393031,"Ushers, Lobby Attendants, and Ticket Takers",-9.6%,57,$16 per hour,"$34,000 per year",Some of these occupations may require a high school diploma or GED certificate.
273043,Writers and Authors,3.3%,771,$36 per hour,"$79,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
113012,Administrative Services Managers,0.2%,377,$57 per hour,"$124,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
433031,"Bookkeeping, Accounting, and Auditing Clerks",-1.1%,"3,046",$23 per hour,"$49,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
131199,"Business Operations Specialists, All Other",0.7%,"5,340",$39 per hour,"$89,400 per year",None
113111,Compensation and Benefits Managers,0.7%,22,$72 per hour,"$163,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131141,"Compensation, Benefits, and Job Analysis Specialists",0.7%,186,$36 per hour,"$82,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151299,"Computer Occupations, All Other",1.4%,"1,149",$45 per hour,"$97,400 per year",None
434021,Correspondence Clerks,1.7%,8,$19 per hour,"$40,100 per year",These occupations usually require a high school diploma.
439021,Data Entry Keyers,-1.4%,180,$19 per hour,"$41,800 per year",These occupations usually require a high school diploma.
119072,"Entertainment and Recreation Managers, Except Gambling",N/A,N/A,$61 per hour,"$138,700 per year",None
436011,Executive Secretaries and Executive Administrative Assistants,-0.9%,763,$33 per hour,"$68,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
113013,Facilities Managers,0.2%,377,$57 per hour,"$124,500 per year",None
434071,File Clerks,-0.4%,124,$19 per hour,"$41,400 per year",These occupations usually require a high school diploma.
431011,First-Line Supervisors of Office and Administrative Support Workers,-0.4%,"2,526",$32 per hour,"$73,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
111021,General and Operations Managers,1.0%,"5,254",$57 per hour,"$140,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
434161,"Human Resources Assistants, Except Payroll and Timekeeping",-0.4%,263,$23 per hour,"$48,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
113121,Human Resources Managers,1.1%,358,$65 per hour,"$145,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131071,Human Resources Specialists,1.6%,"2,536",$35 per hour,"$78,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
434199,"Information and Record Clerks, All Other",-0.3%,356,$22 per hour,"$46,100 per year",These occupations usually require a high school diploma.
434111,"Interviewers, Except Eligibility and Loan",-0.3%,407,$21 per hour,"$43,300 per year",These occupations usually require a high school diploma.
131075,Labor Relations Specialists,-2.1%,115,$44 per hour,"$87,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-2.8%,49,$19 per hour,"$41,000 per year",These occupations usually require a high school diploma.
131111,Management Analysts,2.2%,"4,103",$48 per hour,"$109,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
119199,"Managers, All Other",0.3%,"2,412",$61 per hour,"$138,700 per year",None
131121,"Meeting, Convention, and Event Planners",-1.2%,357,$28 per hour,"$66,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
439199,"Office and Administrative Support Workers, All Other",-0.3%,542,$21 per hour,"$45,400 per year",None
439061,"Office Clerks, General",-0.7%,"6,991",$20 per hour,"$44,500 per year",These occupations usually require a high school diploma.
439071,"Office Machine Operators, Except Computer",-0.7%,94,$18 per hour,"$39,000 per year",These occupations usually require a high school diploma.
152031,Operations Research Analysts,2.1%,281,$45 per hour,"$100,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
434151,Order Clerks,0.6%,424,$19 per hour,"$42,200 per year",These occupations usually require a high school diploma.
433051,Payroll and Timekeeping Clerks,-0.7%,281,$27 per hour,"$55,700 per year",These occupations usually require a high school diploma.
119179,"Personal Service Managers, All Other",N/A,N/A,$61 per hour,"$138,700 per year",None
433061,Procurement Clerks,0.1%,128,$24 per hour,"$49,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
131082,Project Management Specialists,N/A,N/A,$39 per hour,"$89,400 per year",None
434171,Receptionists and Information Clerks,-2.2%,"2,013",$18 per hour,"$38,100 per year",These occupations usually require a high school diploma.
436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.1%,"4,122",$22 per hour,"$47,200 per year",These occupations usually require a high school diploma.
435071,"Shipping, Receiving, and Inventory Clerks",-0.2%,"1,479",$20 per hour,"$47,900 per year",These occupations usually require a high school diploma.
